Scan3_001.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_002.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_003.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_004.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_005.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_006.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_007.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_008.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_009.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_010.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_011.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_012.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_013.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_014.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_015.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_016.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_017.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_018.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_019.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
Scan3_020.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 10.0000; F= 0.0000; YSpacing= 0.0010 mm 
