myDefault_001.tif; X= 0.0000; Y= 0.0000; Z= 0.0000; C= 0.0000; F= 0.0000; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0729; Z= 0.0000; C= 0.0000; F= 1.6669; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0630; Z= 0.0000; C= 0.0000; F= 1.6768; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0531; Z= 0.0000; C= 0.0000; F= 1.6867; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0432; Z= 0.0000; C= 0.0000; F= 1.6966; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0333; Z= 0.0000; C= 0.0000; F= 1.7065; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0234; Z= 0.0000; C= 0.0000; F= 1.7164; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0214; Z= 0.0000; C= 0.0000; F= 1.7184; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0194; Z= 0.0000; C= 0.0000; F= 1.7204; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.0174; Z= 0.0000; C= 0.0000; F= 1.7224; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1759; Z= 0.0000; C= 0.0000; F= 1.7244; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1739; Z= 0.0000; C= 0.0000; F= 1.7264; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1719; Z= 0.0000; C= 0.0000; F= 1.7283; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_002.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_003.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_004.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_002.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_003.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_004.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_002.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_003.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_004.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_002.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_003.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_004.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_001.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_002.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_003.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
myDefault_004.tif; X= 0.0000; Y= 1.1700; Z= 0.0000; C= 0.0000; F= 1.7303; YSpacing= 0.0010 mm 
